ActionRef;Name;Icon;Description;Etoile;Category
B01;Ne pas arracher les plantes;;Les fleurs sont butinées par les abeilles et les abeilles sont très utiles pour polliniser les arbres. Grâce à elles, nous avons des fruits à manger! Quant aux plantes, certaines servent de nourriture à un tas de petites bêtes herbivores ou de refuge à des insectes qui sont eux-mêmes de la nourriture pour les oiseaux.;0;Biodiversité
B02;Ne pas tuer les petites bêtes;;<a href=https://www.1jour1actu.com/monde/enfants-biodiversite>Cliquez ici afin de découvrir pourquoi il ne faut pas tuer les insectes</a><br> <p>La biodiversité est un équilibre indispensable pour maintenir la diversité du vivant. Si on ne respecte pas l''environnement, la biodiversité est en danger, l''équilibre est rompu, et cela veut dire que des espèces animales et végétales risquent de disparaître (insectes, plantes, poissons, oiseaux ...)</p>;0;Biodiversité
B07;Manger moins de viande (manger du poisson ou des œufs);;;5;Biodiversité
C01;Faire des courses proches de chez soi;;On évite ainsi de la pollution en réduisant l''impact des transports polluants.;5;Courses
C02;Ne pas acheter de produits contenant de l''huile de palme ;;Il faut arracher beaucoup d''arbres pour planter des palmeraies qui serviront à fabriquer de l''huile de palme. Et nous avons besoin des forêt pour la qualité de l''air que nous respirons. L''huile de palme est présente dans de nombreux produits alimentaires comme le Nutella . Heureuement, il existe maintenant plein de produits équivalents sans huile de palme!;2;Courses
C06;Préparer soi-même ses goûters, ses yaourts;;Lorsqu''on fait soi-même ses yaourts ou ses compotes, on réduit le nombre d''emballages que l''on produit.;4;Courses
C06;Préparer soi-même son pain ou sa brioche;;Lorsqu''on fait soi-même ses yaourts ou ses compotes, on réduit le nombre d''emballages que l''on produit.;4;Courses
D01;Eviter de refaire des photocopies en rangeant mieux ses feuilles.;;Le papier est fabriqué avec du bois en provenance des arbres. Les arbres contribuent à la qualité de l''air qu''on respire car ils absorbent du gaz carbonique et rejettent de l''oxygène dont nous avons besoin. Utilisons du papier recyclé et économisons le papier pour protéger les forêts et du coup, la qualité de notre air.;3;Déchets
D01;Réutiliser le dos des feuilles en brouillon;;Le papier est fabriqué avec du bois en provenance des arbres. Les arbres contribuent à la qualité de l''air qu''on respire car ils absorbent du gaz carbonique et rejettent de l''oxygène dont nous avons besoin. Utilisons du papier recyclé et économisons le papier pour protéger les forêts et du coup, la qualité de notre air.;3;Déchets
D02;Garder les restes de repas pour les manger un autre jour;;Si on finit son assiette, on produit moins de déchets, et donc moins de pollution atmosphérique (incinérateurs) à moins d''avoir des poules qui mangeront nos restes. On fait aussi des économies;4;Déchets
D03;Ne pas jeter les déchets dans la nature;;;4;Déchets
D04;Ramasser les déchets et les mettre dans une poubelle;;Lorsqu''on jette des déchets dans la nature, ils peuvent mettre des années avant de se dégrader (épluchure de fruit 6 mois, chewing-gum 5 ans, canette aluminium 50 ans, sac plastique 450 ans,,,), De plus, ces déchets sont dangereux pour les animaux qui peuvent les ingurgiter.;2;Déchets
