action_originale;mission_titre;description
Ne pas prélever d’espèces vivantes dans la nature (animaux ou plantes);Préservation du Code Génétique Originel;Les bio-ingénieurs de l'Arche détectent une perturbation dans le flux vital planétaire. Votre mission : ne jamais prélever d'espèces vivantes dans la nature pour préserver l'intégrité du génome terrestre.
Ne pas tuer les araignées. les insectes (les mettre dehors…);Opération Sauvetage Micro-Écosystème;Les sentinelles arachnides et insectoïdes sont des alliés cruciaux dans la guerre contre les toxines. Capturez-les vivants et expulsez-les hors de la base terrestre au lieu de les éliminer.
Donner à manger aux oiseaux dans son jardin ou sur son balcon;Protocole Nourriture Aviaire;Les drones aviaires de reconnaissance manquent de carburant biologique. Activez le protocole de ravitaillement en plaçant de la nourriture pour les oiseaux dans votre zone de contrôle terrestre.
Faire un jardin potager;Activation du Module Hydroponique;Le réacteur alimentaire de l'Arche est en sous-régime. Déployez un jardin potager pour booster la production locale de biomasse comestible.
Manger de la viande de gros animaux une seule fois par jour (vache, porc, mouton);Restriction Thermique Carnée Niveau 1;Les réacteurs à viande lourde surchauffent le noyau. Limitez la consommation de viande de gros animaux à une seule activation par cycle terrestre.
Manger de la viande une seule fois par jour (volaille, gros animaux, ...);Restriction Thermique Carnée Niveau 2;Le système digestif surcharge les filtres de l'Arche. Réduisez votre intake de viande (toute catégorie) à une seule fois par jour.
Manger de la viande ou du poisson une seule fois par jour;Restriction Thermique Protéique;Les protéines animales alourdissent le bilan énergétique du QG. Limitez viande ou poisson à une seule session nutritionnelle quotidienne.
Manger des repas végétarien 1 fois par jour;Synthèse de Biomasse Végétale;Les réplicateurs carnés surchargent le cœur du réacteur. Pour réduire l'empreinte thermique du QG, activez un repas 100% végétarien par cycle.
Acheter des produits locaux et de saison (hors serres chauffées) qui n’ont pas besoin d’être transportés;Approvisionnement en Ressources Locales;Les chaînes de transport interstellaire consomment trop d'énergie. Priorisez les produits locaux et de saison pour minimiser les sauts hyper-spatiaux.
Ne pas acheter des produits contenant de l'huile de palme;Neutralisation Huile de Palmitique;L'huile de palme corrode les écosystèmes tropicaux. Désactivez tout achat de produits contenant cet agent toxique.
Acheter des fruits ou légumes de saison;Cycle Saisonnier Optimal;Les serres artificielles épuisent les réserves solaires. Achetez uniquement des fruits et légumes alignés sur le cycle naturel terrestre.
Faire soi-même ses jus de fruits pour éviter les bouteilles en plastique;Fabrication Artisanale de Nectar;Les conteneurs plastiques polluent les océans. Activez la production manuelle de jus de fruits pour éliminer les déchets plastiques.
Faire soi-même ses produits d’entretien pour éviter les emballages;Synthèse Maison de Composés Nettoyants;Les emballages industriels saturent les recycleurs. Fabriquez vos propres produits d'entretien pour minimiser les déchets solides.
Faire ses repas, gouter, compotes sois même plutôt que d’acheter des plats préparés;Activation du Synthétiseur Culinaire Personnel;Les plats préparés génèrent un excès de déchets d'emballage. Prenez le contrôle en préparant vous-même repas, goûters et compotes.
Limiter l'utilisation du papier : Utiliser les feuilles des 2 côtés / faire du brouillon / Utiliser l’ardoise pour chercher / Prendre du papier recyclé…;Optimisation du Flux Papier;Les forêts sont les poumons de l'Arche. Maximisez l'utilisation du papier (recto-verso, brouillons, ardoise, recyclé) pour préserver les ressources sylvestres.
Tout manger ce qu’il y a dans nos assiettes (cantine/maison);Protocole Zéro Gaspillage Alimentaire;Chaque gramme gaspillé affaiblit les réserves de l'Arche. Mission : consommer intégralement tout ce qui est dans votre assiette.
Ne pas jeter de Déchetss dans la nature (chewing-gums. sacs. canettes. bouteilles…);Verrouillage Anti-Pollution;Les déchets abandonnés corrompent la biosphère. Neutralisez tout jet de déchets dans la nature.
Ramasser les papiers et les Déchetss par terre pour les mettre à la poubelle;Opération Nettoyage de Terrain;Les nano-déchets terrestres menacent la pureté du sol. Ramassez et recyclez tous les déchets visibles autour de votre base.
Ne pas trop acheter de choses quand on n’en a pas vraiment besoin (bien réfléchir à nos vrais besoins alimentaires ou autres).;Contrôle des Impulsions Acquisition;Les impulsions d'achat surchargent les chaînes logistiques. Analysez vos vrais besoins avant toute acquisition.
