ID;Catégorie Réelle;Secteur Futuriste;Titre Futuriste (SF);;Description Narrative (SF);Objectif / Action Réelle;Description Réelle;Économie CO2 (kg);Économie Eau (L);Économie Déchets (kg);Gain HP / IT
212;Déchets;Recycleur Moléculaire;Réactivation d'Unités Électroniques Niveau 3;212-Acheter des appareils électronique reconditionné à faible composante électronique;Optez pour du reconditionné à faible composante électronique.;Acheter des appareils électronique reconditionné à faible composante électronique;100;0.4;100;0.1;100
210;Déchets;Recycleur Moléculaire;Réactivation d'Unités Électroniques Niveau 1;210-Acheter des appareils électronique reconditionné à forte composante électronique;Priorisez les appareils reconditionnés à forte composante électronique pour réduire l'empreinte minière.;Acheter des appareils électronique reconditionné à forte composante électronique;800;1.1;800;0.5;802
211;Déchets;Recycleur Moléculaire;Réactivation d'Unités Électroniques Niveau 2;211-Acheter des appareils électronique reconditionné à moyenne composante électronique;Choisissez des appareils reconditionnés à moyenne composante pour optimiser le cycle de vie.;Acheter des appareils électronique reconditionné à moyenne composante électronique;400;0.9;400;0.3;401
213;Déchets;Recycleur Moléculaire;Réactivation d'Unités Électroniques Niveau 4;213-Acheter des appareils électronique reconditionné à très faible composante électronique;Minimisez l'impact avec du reconditionné à très faible composante électronique.;Acheter des appareils électronique reconditionné à très faible composante électronique;100;0.1;100;0;100
209;Déchets;Recycleur Moléculaire;Réactivation d'Unités Électroniques Avancées;209-Acheter des appareils électronique reconditionné à très forte composante électronique;Les nouvelles fabrications épuisent les mines rares. Optez pour des appareils reconditionnés à très forte composante électronique.;Acheter des appareils électronique reconditionné à très forte composante électronique;1500;5.5;1500;1.5;1507
190;Courses;Secteur Courses;Cycle Saisonnier Optimal;190-Acheter des fruits ou légumes de saison;Les serres artificielles épuisent les réserves solaires. Achetez uniquement des fruits et légumes alignés sur le cycle naturel terrestre.;Acheter des fruits ou légumes de saison;0;6.9;0;0;7
94;Déchets;Recycleur Moléculaire;Approvisionnement en Mode Vrac;94-Acheter des produits en vrac. éviter les emballages individuels…;Les emballages individuels saturent les décharges. Priorisez les achats en vrac pour réduire les déchets d'emballage.;Acheter des produits en vrac. éviter les emballages individuels…;0;0.4;0;0.7;1
79;Courses;Secteur Courses;Approvisionnement en Ressources Locales;79-Acheter des produits locaux et de saison (hors serres chauffées) qui n’ont pas besoin d’être transportés;Les chaînes de transport interstellaire consomment trop d'énergie. Priorisez les produits locaux et de saison pour minimiser les sauts hyper-spatiaux.;Acheter des produits locaux et de saison (hors serres chauffées) qui n’ont pas besoin d’être transportés;0;13.8;0;0;14
13;Déchets;Recycleur Moléculaire;Mission : Acheter seulement quand on en a besoin,;13-Acheter seulement quand on en a besoin,;Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Acheter seulement quand on en a besoin,**;Acheter seulement quand on en a besoin,;Chaque fois que l’on fabrique quelque chose, on utilise de l’énergie. Réduire le nombre de produits qu’on achète permet de réduire la consommation d’énergie et donc le réchauffement climatique. Si on achète des produits d’occasion, on donne une nouvelle vie à des objets qui peuvent encore servir et cela évite de fabriquer inutilement. En plus, on fait des économies !;0;0;0.1;10
32;Transport;Vecteur de Mobilité;Mission : Aller à l’‘école à pied, faire du covoiturage ou prendre le bus, le vélo, la trottinette…;32-Aller à l’‘école à pied, faire du covoiturage ou prendre le bus, le vélo, la trottinette…;Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Aller à l’‘école à pied, faire du covoiturage ou prendre le bus, le vélo, la trottinette…**;Aller à l’‘école à pied, faire du covoiturage ou prendre le bus, le vélo, la trottinette…;Lorsque l''on se rend dans un endroit où on peut aller en transport en commun ou à plusieurs, on pollue mois que de prendre chacun sa voiture. La pollution des véhicules contribue au réchauffement climatique.;0.5;0;0;1
97;Electricité;Secteur Electricité;Réduction du Flux Thermique Fossile;97-Baisser le chauffage aux enérgies fossiles;Les énergies fossiles déstabilisent le climat. Baissez le chauffage pour minimiser leur utilisation.;Baisser le chauffage aux enérgies fossiles;0;6.1;0;0;6
37;Eau;Bouclier Hydrique;Mission : Choisir le bouton de la chasse d’‘eau selon ses besoins;37-Choisir le bouton de la chasse d’‘eau selon ses besoins;Une fuite critique menace le bouclier hydrique de l'Arche. Pour colmater la brèche temporelle, ta mission est d'accomplir impérativement l'action suivante : **Choisir le bouton de la chasse d’‘eau selon ses besoins**;Choisir le bouton de la chasse d’‘eau selon ses besoins;;0;16.5;0;17
35;Eau;Bouclier Hydrique;Mission : Couper l’‘eau quand on se brosse les dents et utiliser un gobelet;35-Couper l’‘eau quand on se brosse les dents et utiliser un gobelet;Une fuite critique menace le bouclier hydrique de l'Arche. Pour colmater la brèche temporelle, ta mission est d'accomplir impérativement l'action suivante : **Couper l’‘eau quand on se brosse les dents et utiliser un gobelet**;Couper l’‘eau quand on se brosse les dents et utiliser un gobelet;"Nous avons besoin d''eau douce pour vivre (boire, nous laver pour éviter les maladies, faire pousser notre nourriture…) et la quantité d''eau douce sur la terre est limitée Il faut l''économiser pour ne pas risquer d''en manquer un jour. <a href=""https://www.1jour1actu.com/info-animee/economiser-eau"">Cliquez ici, afin de découvrir pourquoi il faut économiser l''eau ?</a>";0.1;28;0;28
