"ID";"Catégorie Réelle";"Secteur Futuriste";"Titre Futuriste (SF)";"Description Narrative (SF)";"Objectif / Action Réelle";"Description Réelle";"Économie CO2 (kg)";"Économie Eau (L)";"Économie Déchets (kg)";"Gain HP / IT"
"32";"Transport";"Vecteur de Mobilité";"Mission : Aller à l’‘école à pied, faire du covoiturage ou prendre le bus, le vélo, la trottinette…";"Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Aller à l’‘école à pied, faire du covoiturage ou prendre le bus, le vélo, la trottinette…**";"Aller à l’‘école à pied, faire du covoiturage ou prendre le bus, le vélo, la trottinette…";"Lorsque l''on se rend dans un endroit où on peut aller en transport en commun ou à plusieurs, on pollue mois que de prendre chacun sa voiture. La pollution des véhicules contribue au réchauffement climatique.";"0.5";"0.0";"0.0";"1"
"33";"Transport";"Vecteur de Mobilité";"Mission : Couper le moteur quand on ne roule pas";"Une anomalie spatio-temporelle fait trembler les fondations de l'Arche ! Pour stabiliser la matrice, ta mission absolue est de : **Couper le moteur quand on ne roule pas**";"Couper le moteur quand on ne roule pas";"Cela ne sert à rien de laisser tourner son moteur quand on est arrêté. Tant pis s’il fait froid dans la voiture l’hiver ou s’il fait trop chaud l’été : on gaspille de l’essence en laissant son moteur allumé pour avoir du chauffage ou de la climatisation et on produit aussi plus de pollution, ce qui contribue au réchauffement climatique.";"1.5";"0.0";"0.0";"2"
"4";"Courses";"Secteur Courses";"Mission : Faire des courses proches de chez soi";"Les réplicateurs de biomasse sont en surchauffe totale ! Pour éviter l'explosion du réacteur gastrique de l'Arche, tu dois : **Faire des courses proches de chez soi**";"Faire des courses proches de chez soi";"On évite ainsi de la pollution en réduisant l''impact des transports polluants.";"13.8";"0.0";"0.0";"14"
"5";"Courses";"Secteur Courses";"Mission : Ne pas acheter de produits contenant de l''huile de palme";"Les réplicateurs de biomasse sont en surchauffe totale ! Pour éviter l'explosion du réacteur gastrique de l'Arche, tu dois : **Ne pas acheter de produits contenant de l''huile de palme**";"Ne pas acheter de produits contenant de l''huile de palme";"Il faut arracher beaucoup d''arbres pour planter des palmeraies qui serviront à fabriquer de l''huile de palme. Et nous avons besoin des forêt pour la qualité de l''air que nous respirons. L''huile de palme est présente dans de nombreux produits alimentaires comme le Nutella . Heureuement, il existe maintenant plein de produits équivalents sans huile de palme!";"0.1";"0.0";"0.0";"10"
"6";"Courses";"Secteur Courses";"Mission : Préparer soi-même son pain ou sa brioche";"Les réplicateurs de biomasse sont en surchauffe totale ! Pour éviter l'explosion du réacteur gastrique de l'Arche, tu dois : **Préparer soi-même son pain ou sa brioche**";"Préparer soi-même son pain ou sa brioche";"Lorsqu''on fait soi-même ses yaourts ou ses compotes, on réduit le nombre d''emballages que l''on produit.";"1.3";"0.0";"0.2";"1"
"8";"Déchets";"Recycleur Moléculaire";"Mission : Réutiliser le dos des feuilles en brouillon";"Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Réutiliser le dos des feuilles en brouillon**";"Réutiliser le dos des feuilles en brouillon";"Le papier est fabriqué avec du bois en provenance des arbres. Les arbres contribuent à la qualité de l''air qu''on respire car ils absorbent du gaz carbonique et rejettent de l''oxygène dont nous avons besoin. Utilisons du papier recyclé et économisons le papier pour protéger les forêts et du coup, la qualité de notre air.";"0.0";"0.0";"0.8";"1"
"10";"Déchets";"Recycleur Moléculaire";"Mission : Garder les restes de repas pour les manger un autre jour";"Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Garder les restes de repas pour les manger un autre jour**";"Garder les restes de repas pour les manger un autre jour";"Si on finit son assiette, on produit moins de déchets, et donc moins de pollution atmosphérique (incinérateurs) à moins d''avoir des poules qui mangeront nos restes. On fait aussi des économies";"2.5";"0.0";"1.4";"4"
"11";"Déchets";"Recycleur Moléculaire";"Mission : Ne pas jeter les déchets dans la nature";"Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Ne pas jeter les déchets dans la nature**";"Ne pas jeter les déchets dans la nature";"";"0.4";"0.0";"4.5";"5"
"12";"Déchets";"Recycleur Moléculaire";"Mission : Ramasser les déchets et les mettre dans une poubelle";"Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Ramasser les déchets et les mettre dans une poubelle**";"Ramasser les déchets et les mettre dans une poubelle";"Lorsqu''on jette des déchets dans la nature, ils peuvent mettre des années avant de se dégrader (épluchure de fruit 6 mois, chewing-gum 5 ans, canette aluminium 50 ans, sac plastique 450 ans,,,), De plus, ces déchets sont dangereux pour les animaux qui peuvent les ingurgiter.";"0.0";"0.0";"0.1";"10"
"13";"Déchets";"Recycleur Moléculaire";"Mission : Acheter seulement quand on en a besoin,";"Alerte : corruption du compacteur moléculaire détectée ! Rétablis l'ordre cosmique en accomplissant la directive : **Acheter seulement quand on en a besoin,**";"Acheter seulement quand on en a besoin,";"Chaque fois que l’on fabrique quelque chose, on utilise de l’énergie. Réduire le nombre de produits qu’on achète permet de réduire la consommation d’énergie et donc le réchauffement climatique. Si on achète des produits d’occasion, on donne une nouvelle vie à des objets qui peuvent encore servir et cela évite de fabriquer inutilement. En plus, on fait des économies !";"0.0";"0.0";"0.1";"10"
